variant,training_seed,budget,model_sha256,actual_timesteps,ppo_epochs_completed
full_gaussian,9000,32768,753f08671c9413e921e5eee2ce692d9b6d531cc8ed02b16d7ab803e717639980,32768,256
full_gaussian,9000,65536,16d8496ae957c569846f944fd8a1417b1685b21699d79b1845978eaa6e7d0eb0,65536,512
full_gaussian,9000,131072,5aeca8a27ce2827661d0cb326eff00422f72996b7199abcc05710c175fd7045b,131072,1024
bounded_mean,9000,32768,ac5b1faa3d72ff41697d056245c631980b2bc74ba38a9af1e8f8a9313e2f0382,32768,256
bounded_mean,9000,65536,36f6317f01518845d7b42b2384b08d63cf052dcf383cdbf10dd3392f5e591c38,65536,512
bounded_mean,9000,131072,654c2a6800a8d08bdb73a454b4047ade62405421afac89840b76f25964b483db,131072,1024
fx_only,9000,32768,a0fb0ab4c541c0900faf783e6b1f4e294ca32a13014b6c9aee02ea56308f430b,32768,256
fx_only,9000,65536,e5a2311d2ac2c429def937f03df7cddfb179def977af5817ece520023e3e6e2c,65536,512
fx_only,9000,131072,d0a494a3af32f7b9fa5176dc396c5ee0ea3105302c96715de791e37531c53fce,131072,1024
full_gaussian,10000,32768,a3cf30686df602ec42dbd4d64d835dc5953beef54ed27cc0fc36c706ddee2326,32768,256
full_gaussian,10000,65536,6872bcace81a3c09109cbb479289b15c731bd077c7706987587e6c8cbd8178bc,65536,512
full_gaussian,10000,131072,2e8221836b83ec1911131c5dcdda523b08d7b24e780882ae81ff62c782f5c776,131072,1024
bounded_mean,10000,32768,d50aacceed45bb63e7593d4bc108227e6fdbe76f9f9d53f856d8d166838955e3,32768,256
bounded_mean,10000,65536,9a93b80a1237bc7b89e5b635d8c2fabc664b59c51fa179f8232ae3caeab91a21,65536,512
bounded_mean,10000,131072,1ddc047c8b53005bad8bfd197b163d1dbdacd3ce9d1b8ebeedc1d3ef1231c4f3,131072,1024
fx_only,10000,32768,107c3b9d32b524b51498ad4ac316e1c9b8368d982d32ce5e628b318a1c725db5,32768,256
fx_only,10000,65536,22080fd82d6d20a805c618832ec791c4ac328a18eac374b2325c2af6227552ab,65536,512
fx_only,10000,131072,17e8b7ec58e75a47b4df0ca02e73a3c5b35594504f8d4f3ae9b6bb8da5ecbaee,131072,1024
full_gaussian,11000,32768,8d212a04db90d865fc8a7a5d6043d92c442b09bf7845cbc1f99697788c1c5f8d,32768,256
full_gaussian,11000,65536,0162d317eadec1b602dcc4d830c6b879ce2aacd100b967616663bc00bb1f3c36,65536,512
full_gaussian,11000,131072,17360163480b035d67476076d039c116c6ea0506e3b0336912e70022cc6d50e4,131072,1024
bounded_mean,11000,32768,bfa93a38b93022c2abb45a1186f74292a07da08df156151c442e20d186447bbe,32768,256
bounded_mean,11000,65536,3f366708cb0837309dd8f129a1a9f1a4aedb1a1e1dd4b230579dcfdf93436c2d,65536,512
bounded_mean,11000,131072,5058ff39962c0b4da7b81882d174b59d720e6f86541060cca376f7970d99b8b2,131072,1024
fx_only,11000,32768,40c4112019f9fcbaeba1174115cf72e90cd661797067dc94b02e55e31b040cc2,32768,256
fx_only,11000,65536,06a4169bafd09ade96faee5e31b9422f77281e943da5df6904b844039ff4542e,65536,512
fx_only,11000,131072,2af72cb44f34c1ed9cf79170a7eeec5f084a5bb3155a2088f403b145cbf4c179,131072,1024
