variant,training_seed,budget,scope,cases,completed,quality_successes,mean_velocity_rmse_mps,mean_tail_velocity_rmse_mps,mean_clearance_rmse_m,mean_episode_return
full_gaussian,9000,32768,fixed_six_development_cases,6,6,3,0.1053969777722702,0.08947793763762661,0.016079955308581136,1475.1174985329892
full_gaussian,9000,65536,fixed_six_development_cases,6,6,3,0.10471464163476867,0.08784563833260438,0.016180367348976488,1482.4653064844708
full_gaussian,9000,131072,fixed_six_development_cases,6,6,4,0.10297425852559657,0.08750671529289655,0.015026083598072398,1503.8458549809638
bounded_mean,9000,32768,fixed_six_development_cases,6,6,3,0.10391768487796964,0.0858231379483523,0.015154375753616592,1513.450747521094
bounded_mean,9000,65536,fixed_six_development_cases,6,6,3,0.10481242747326476,0.08674928049724928,0.015989136751603114,1484.4285274906495
bounded_mean,9000,131072,fixed_six_development_cases,6,6,3,0.10417014046401762,0.08551266411494514,0.014627081783610761,1522.1924669216994
fx_only,9000,32768,fixed_six_development_cases,6,6,3,0.10339892563375196,0.0891783956953555,0.013477249140604405,1543.5346871871736
fx_only,9000,65536,fixed_six_development_cases,6,6,3,0.10316575183189808,0.08663507769112905,0.013432973120360797,1543.4786965493358
fx_only,9000,131072,fixed_six_development_cases,6,6,3,0.10381963918853761,0.08996948085368921,0.013409254290857228,1530.1923170047958
full_gaussian,10000,32768,fixed_six_development_cases,6,6,3,0.11039653654936288,0.09827502779536978,0.015355206959195239,1493.8019850824257
full_gaussian,10000,65536,fixed_six_development_cases,6,6,4,0.10513143982040836,0.08588769127355185,0.016151826490426815,1479.1215969072352
full_gaussian,10000,131072,fixed_six_development_cases,6,6,3,0.10139566700823688,0.09517937070739256,0.011004715532105904,1540.2314682546828
bounded_mean,10000,32768,fixed_six_development_cases,6,6,3,0.10755259049048489,0.09632586058592303,0.015915956308312457,1488.2291395874502
bounded_mean,10000,65536,fixed_six_development_cases,6,6,3,0.10595578786751624,0.08865849636504915,0.01603685904559515,1479.2588138489575
bounded_mean,10000,131072,fixed_six_development_cases,6,6,3,0.10320360554750509,0.09307670699599725,0.01403617896434519,1536.810057195353
fx_only,10000,32768,fixed_six_development_cases,6,6,3,0.10244207557715479,0.08699908842851839,0.01335894654280722,1539.4866849600783
fx_only,10000,65536,fixed_six_development_cases,6,6,3,0.10373547211878205,0.08960159210416803,0.01335464128714881,1542.3763816117291
fx_only,10000,131072,fixed_six_development_cases,6,6,3,0.10325178963035121,0.08767023964543434,0.013424485260129569,1534.7632221529982
full_gaussian,11000,32768,fixed_six_development_cases,6,6,3,0.10444491345095047,0.08665625058372857,0.01608382021880575,1485.0584826362644
full_gaussian,11000,65536,fixed_six_development_cases,6,6,4,0.10518290039089623,0.08790601243671471,0.016163401485442267,1481.9275571170338
full_gaussian,11000,131072,fixed_six_development_cases,6,6,3,0.10337785331002876,0.08885655712258299,0.011827070662320934,1543.6617919560201
bounded_mean,11000,32768,fixed_six_development_cases,6,6,3,0.10408364150038098,0.08723699683409658,0.016006385321173364,1489.198551328974
bounded_mean,11000,65536,fixed_six_development_cases,6,6,3,0.1051366198622355,0.0871612095684252,0.01617174552827717,1481.4973993880183
bounded_mean,11000,131072,fixed_six_development_cases,6,6,3,0.10180279922304215,0.08887431984976986,0.011106817474223827,1540.7849976235696
fx_only,11000,32768,fixed_six_development_cases,6,6,3,0.10357540086100214,0.08529679348571738,0.013428815078803558,1541.4818856778845
fx_only,11000,65536,fixed_six_development_cases,6,6,3,0.10139467534921008,0.08617128601115587,0.01347912961501558,1537.9822452886813
fx_only,11000,131072,fixed_six_development_cases,6,6,3,0.10210623688431368,0.08394127463223551,0.013390925138908653,1538.7458155676256
