split,mode,training_seed,budget,cases,completed,failed,quality_passes
development,zero,,,4,4,0,4
development,shared2,31000,32768,4,4,0,4
development,independent8,31000,32768,4,4,0,4
development,shared2,31000,65536,4,4,0,4
development,independent8,31000,65536,4,4,0,4
development,shared2,31000,131072,4,4,0,4
development,independent8,31000,131072,4,4,0,4
development,shared2,31000,262144,4,4,0,4
development,independent8,31000,262144,4,4,0,4
development,shared2,32000,32768,4,4,0,4
development,independent8,32000,32768,4,4,0,4
development,shared2,32000,65536,4,4,0,4
development,independent8,32000,65536,4,4,0,4
development,shared2,32000,131072,4,4,0,4
development,independent8,32000,131072,4,4,0,4
development,shared2,32000,262144,4,4,0,4
development,independent8,32000,262144,4,4,0,4
development,shared2,33000,32768,4,2,2,0
development,independent8,33000,32768,4,4,0,4
development,shared2,33000,65536,4,4,0,4
development,independent8,33000,65536,4,4,0,4
development,shared2,33000,131072,4,4,0,4
development,independent8,33000,131072,4,4,0,4
development,shared2,33000,262144,4,4,0,4
development,independent8,33000,262144,4,4,0,4
holdout,zero,,,4,4,0,4
holdout,shared2,31000,32768,4,4,0,4
holdout,independent8,31000,32768,4,4,0,4
holdout,shared2,31000,65536,4,4,0,4
holdout,independent8,31000,65536,4,4,0,4
holdout,shared2,31000,131072,4,4,0,4
holdout,independent8,31000,131072,4,4,0,4
holdout,shared2,31000,262144,4,4,0,4
holdout,independent8,31000,262144,4,4,0,4
holdout,shared2,32000,32768,4,4,0,4
holdout,independent8,32000,32768,4,4,0,4
holdout,shared2,32000,65536,4,4,0,4
holdout,independent8,32000,65536,4,4,0,4
holdout,shared2,32000,131072,4,4,0,4
holdout,independent8,32000,131072,4,4,0,4
holdout,shared2,32000,262144,4,4,0,4
holdout,independent8,32000,262144,4,4,0,4
holdout,shared2,33000,32768,4,4,0,0
holdout,independent8,33000,32768,4,4,0,4
holdout,shared2,33000,65536,4,4,0,4
holdout,independent8,33000,65536,4,4,0,4
holdout,shared2,33000,131072,4,4,0,4
holdout,independent8,33000,131072,4,4,0,4
holdout,shared2,33000,262144,4,4,0,4
holdout,independent8,33000,262144,4,4,0,4
