pair_index,controller,scenario,evaluation_seed,state_estimation_mode,latency_compensation,contact_allocation,initial_state_fingerprint,initial_command_fingerprint,push_schedule_fingerprint,state_age_mean_ms,state_age_p95_ms,state_age_max_ms,compensation_horizon_p95_ms,compensation_applied_ratio,compensation_rejected_ratio,action_delay_steps,state_delay_steps,sensor_noise_scale,state_estimator_seed,base_mass_scale,damping_scale,friction_scale,actuator_strength_scale,success,episode_steps,episode_duration_s,velocity_rmse_mps,pitch_rmse_deg,max_abs_pitch_deg,height_rmse_mm,normalized_torque_rms,mean_abs_mechanical_power_w,torque_saturation_ratio,residual_action_rms,residual_action_delta_rms,mean_residual_longitudinal_force_n,mean_residual_vertical_force_n,four_wheel_contact_ratio,undesired_contact_steps,mean_reward,solve_p95_ms,allocation_solve_p95_ms,allocation_solve_p99_ms,allocation_constraint_violation_max,allocation_force_error_rms_n,allocation_moment_error_rms_nm,contact_force_model_error_rms_n,contact_moment_model_error_rms_nm,contact_force_tracking_error_rms_n,contact_moment_tracking_error_rms_nm,contact_wrench_physics_samples_min,contact_wrench_physics_samples_max,allocation_converged_ratio,allocation_feasible_nonconverged_ratio,allocation_fallback_ratio,allocation_wrench_limited_ratio,allocation_no_contact_ratio,allocation_legacy_ratio,allocation_not_run_ratio,raw_position_estimation_rmse_m,control_position_estimation_rmse_m,raw_pitch_estimation_rmse_deg,control_pitch_estimation_rmse_deg,raw_velocity_estimation_rmse_mps,control_velocity_estimation_rmse_mps,partial_contact_ratio
0,D1 LQR+VMC,randomized,121,oracle,none,legacy,7c2e92dfcaa715c655bc8077a117188283c609c4004d2c997e753c106bd05da0,b5debe969d1df6635d50c0383ced2b7758db1a66006d8efd3190a9a9c1c36602,3c0b20d46b77d044bc2c012ed0e2b5b40ed5c67307b2b067e0da1963dd696938,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.0392194779402963,0.934056113211154,1.1857691697504076,0.9661443790880642,1,600,6.0,0.31998635115784474,1.6252474666780514,4.00933080430875,6.299395267881815,0.27627911421955115,343.5754060949744,0.0,0.0,0.0,0.0,0.0,0.8133333333333334,0,3.559300874743866,0.0,0.2551504497660062,0.28354107057566574,0.0,2.2046456773613356e-13,65.55998785631058,147.34118203126883,42.99353410786392,147.34118203126883,31.883104539367576,5,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18666666666666668
0,D1 LQR+VMC,randomized,121,oracle,none,constrained,7c2e92dfcaa715c655bc8077a117188283c609c4004d2c997e753c106bd05da0,b5debe969d1df6635d50c0383ced2b7758db1a66006d8efd3190a9a9c1c36602,3c0b20d46b77d044bc2c012ed0e2b5b40ed5c67307b2b067e0da1963dd696938,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.0392194779402963,0.934056113211154,1.1857691697504076,0.9661443790880642,1,600,6.0,0.21910607452787548,1.8899192707907038,4.878569747483831,10.060226903849777,0.21353616570598877,55.58210340899725,0.0,0.0,0.0,0.0,0.0,0.9416666666666667,0,3.6774603105758272,0.0,3.2611257002372436,3.60749263042635,6.992473017136836e-12,24.26889925372516,3.674405954649685,40.987763279751405,8.501483361756208,47.096664374852594,9.100636586317481,5,5,0.9983333333333333,0.0016666666666666668,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058333333333333334
1,D1 LQR+VMC,randomized,122,oracle,none,legacy,c29706cb396ed7cc6b20e70c4feb8d727c8ccb88d9c3ac1f5a6f9d2c7a8dafc9,a43e284a8bda7a9c6b9537304ee476b45e291d3a0f641aee8d330f83a4caf286,02908c9b2d28b6c0bdcc0dbeb8aaf2aeeb616e0ceadd9fa26465aa48443790f9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.0815775669389267,0.8790308005009635,0.8954298945162347,0.8918624637657828,1,600,6.0,0.37236293067826676,1.9642703659847427,4.402485842714876,11.006836594724833,0.28414670021414096,412.8313897400451,0.0,0.0,0.0,0.0,0.0,0.6766666666666666,0,3.1500881502523255,0.0,0.266759450551035,0.29117563953150233,0.0,2.2671767750816592e-13,65.92440292792351,155.46671187290158,45.77900511223633,155.46671187290158,32.73322324994232,5,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3233333333333333
1,D1 LQR+VMC,randomized,122,oracle,none,constrained,c29706cb396ed7cc6b20e70c4feb8d727c8ccb88d9c3ac1f5a6f9d2c7a8dafc9,a43e284a8bda7a9c6b9537304ee476b45e291d3a0f641aee8d330f83a4caf286,02908c9b2d28b6c0bdcc0dbeb8aaf2aeeb616e0ceadd9fa26465aa48443790f9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.0815775669389267,0.8790308005009635,0.8954298945162347,0.8918624637657828,1,600,6.0,0.3164282697816416,2.8646315864621807,5.837585430927341,12.945964959030828,0.2920886790132496,356.12034985449054,0.013854166666666667,0.0,0.0,0.0,0.0,0.19166666666666668,0,3.3362666441205624,0.0,3.571536800018292,5.116589990584543,2.521320243833931e-10,95.1512953970265,14.028491903365417,89.0137500262554,23.893348411302615,129.63403136242835,24.74580304892417,5,5,0.9733333333333334,0.023333333333333334,0.0,0.5216666666666666,0.0033333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805
2,D1 LQR+VMC,randomized,123,oracle,none,legacy,73dfdbd5c0ab425dc1b07acfcd0f96887b1c1df66e5fdd7f7fdf9c8082c92375,ad1ef676cd7e09b56d4738ddf875ae6abd6c6381fbff77aa832cc7df0175445b,469375b2dfe0336699f18db15a737f7a66f34020c133025cccdddb7d4ca8b301,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.0501174099145916,0.8242194584610002,0.7932339173021974,0.8868743621397339,1,600,6.0,0.35403544980050144,2.036174467550414,5.941516236900707,9.190211037659562,0.260090657562208,306.64257951171106,0.0,0.0,0.0,0.0,0.0,0.8033333333333333,0,3.3032086657344273,0.0,0.30013000045983035,0.3941993894204643,0.0,1.7277792445038689,66.48632678994923,144.575421779378,44.07076877261836,144.6279714341408,31.37827429160237,5,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19666666666666666
2,D1 LQR+VMC,randomized,123,oracle,none,constrained,73dfdbd5c0ab425dc1b07acfcd0f96887b1c1df66e5fdd7f7fdf9c8082c92375,ad1ef676cd7e09b56d4738ddf875ae6abd6c6381fbff77aa832cc7df0175445b,469375b2dfe0336699f18db15a737f7a66f34020c133025cccdddb7d4ca8b301,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.0501174099145916,0.8242194584610002,0.7932339173021974,0.8868743621397339,1,600,6.0,0.2215305206146215,2.428393600613102,4.475647956527613,6.905272381878493,0.2014055727459084,55.04317490174524,0.0,0.0,0.0,0.0,0.0,0.9266666666666666,0,3.646822531826277,0.0,3.0247190501086147,3.330007949598439,3.966702648585818e-14,33.832241549506016,4.2683257624801065,45.97959496178102,9.053084562111001,56.794673046981785,9.78445251978352,5,5,1.0,0.0,0.0,0.07666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07333333333333333
3,D1 LQR+VMC,randomized,124,oracle,none,legacy,9f92d54e327d4a75e4a2b3d01bc40fe062eac5664ed1738e182917c68d9d04da,56dcc03527552d4dd3b093e8f05fd103a605ca22ee3f8a654938347405d3380a,09c8d449d73b1404b27eb7395d76d55061d83f415adb9f451a5a282749d83920,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.072755685088562,1.1536367108867953,1.2799384113898542,0.9996119545819131,1,600,6.0,0.2531775021637927,0.902791206683104,1.8490621135123164,9.212190961349178,0.2175099821638664,94.1656453659553,0.0,0.0,0.0,0.0,0.0,0.9966666666666667,0,3.5440664170603,0.0,0.25913135036716994,0.2947510397825681,0.0,2.200563549090119e-13,65.84909773399228,125.77348161816768,38.10396114743005,125.77348161816768,28.823785391647423,5,5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033333333333333335
3,D1 LQR+VMC,randomized,124,oracle,none,constrained,9f92d54e327d4a75e4a2b3d01bc40fe062eac5664ed1738e182917c68d9d04da,56dcc03527552d4dd3b093e8f05fd103a605ca22ee3f8a654938347405d3380a,09c8d449d73b1404b27eb7395d76d55061d83f415adb9f451a5a282749d83920,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.072755685088562,1.1536367108867953,1.2799384113898542,0.9996119545819131,1,600,6.0,0.23971335274574637,2.590908834492045,4.288638328374598,10.9496022078825,0.2078186625532261,54.51395165150445,0.0,0.0,0.0,0.0,0.0,0.9266666666666666,0,3.4306579797795758,0.0,3.0575508501442514,3.359790610602431,1.2554972008769803e-12,35.49702576010416,4.453933744701474,49.62617117316415,12.974684459066676,59.915685299610594,13.73076706107408,5,5,1.0,0.0,0.0,0.08166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07333333333333333
4,D1 LQR+VMC,randomized,125,oracle,none,legacy,e3d32ae351fe1e9e4cd0f6c37bc15f9ab5e4379303646bd4844c8d5acf55f8c4,bb4ef951ef18a309bcca5309ea323c4c8c1ecdbb3c39d1610cb072140f7e44e6,ce563013b208516d32c203b8ae91ea1ab965c61544ef3ac2563d15ed89fbae5c,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.0873848863921922,1.0221424887299229,0.9036051544398931,0.8859215154175284,1,600,6.0,0.11441560024170959,0.37367182199388504,1.2106770329556384,7.026680445590188,0.22025537974482592,98.35156067569187,0.0,0.0,0.0,0.0,0.0,0.9983333333333333,0,3.9953962838715884,0.0,0.24323624970747904,0.2782715497141907,0.0,2.0568746913452307e-13,65.3616265111654,124.57516206238655,37.31692378981391,124.57516206238655,28.374717541203577,5,5,0.0,0.0,0.0,0.9983333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016666666666666668
4,D1 LQR+VMC,randomized,125,oracle,none,constrained,e3d32ae351fe1e9e4cd0f6c37bc15f9ab5e4379303646bd4844c8d5acf55f8c4,bb4ef951ef18a309bcca5309ea323c4c8c1ecdbb3c39d1610cb072140f7e44e6,ce563013b208516d32c203b8ae91ea1ab965c61544ef3ac2563d15ed89fbae5c,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,,1.0873848863921922,1.0221424887299229,0.9036051544398931,0.8859215154175284,1,600,6.0,0.15367799869448195,2.451036966915519,2.9281036299902774,5.606376996983804,0.18522490463227198,45.94522270701944,0.00020833333333333335,0.0,0.0,0.0,0.0,0.995,0,3.7937969011212407,0.0,3.088447749860279,3.491522080012146,2.920424630148678e-14,16.45184261372216,2.156680982451165,49.49591112077823,9.481093913746474,51.731895907538345,9.757601845349273,5,5,1.0,0.0,0.0,0.006666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
