time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/clip_range,train/policy_gradient_loss,train/value_loss,train/std,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,train/learning_rate,train/entropy_loss,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
1,128,0,201,,,,,,,,,,,,,
2,256,1,220,0.2,-0.023635777179151773,0.07840421423316002,0.1353258639574051,0.029171515,0.21875,4,0.329102098941803,0.0003,4.649020552635193,-0.015286732465028763,,
3,384,1,229,0.2,-0.012028824770823121,0.07268489897251129,0.13533058762550354,0.020364337,0.119140625,8,-0.4419606924057007,0.0003,4.648893356323242,-0.0023039542138576508,,
4,512,2,234,0.2,-0.019876946695148945,0.06706669554114342,0.13533058762550354,0.018893275,0.095703125,12,-0.190718412399292,0.0003,4.648797035217285,-0.01858714409172535,,
5,640,2,236,0.2,-0.004582483088597655,0.055034187622368336,0.13530822098255157,0.013032014,0.0703125,16,-0.29791104793548584,0.0003,4.649192690849304,0.004525375552475452,,
6,768,3,238,0.2,-0.01014034473337233,0.05575078399851918,0.13529345393180847,0.011139818,0.0546875,20,-0.9918303489685059,0.0003,4.650552272796631,-0.009256978519260883,,
7,896,3,240,0.2,-0.0052453624084591866,0.045438364148139954,0.13527825474739075,0.011508765,0.05859375,24,-0.9889864921569824,0.0003,4.651333928108215,-0.000790787860751152,,
8,1024,4,242,0.2,-0.00810421584174037,0.03980677109211683,0.13528315722942352,0.005744228,0.015625,28,-1.524515151977539,0.0003,4.651931166648865,-0.009345298632979393,,
9,1152,4,245,0.2,-0.002768181264400482,0.03219893202185631,0.13530540466308594,0.0051094755,0.005859375,32,-0.44854819774627686,0.0003,4.651204347610474,-0.002088624984025955,,
10,1280,5,246,0.2,-0.0013266950845718384,0.028826647670939565,0.13531681895256042,0.005264814,0.009765625,36,-0.542034387588501,0.0003,4.649975538253784,-0.0001487969420850277,,
11,1408,5,248,0.2,-0.00825516041368246,0.027021740097552538,0.13530738651752472,0.0092477035,0.037109375,40,-1.7349603176116943,0.0003,4.649813532829285,-0.013010535389184952,,
12,1536,6,249,0.2,-0.0025481414049863815,0.02272650389932096,0.13527131080627441,0.011055746,0.05078125,44,-0.8722606897354126,0.0003,4.650949478149414,-0.0008271015249192715,,
13,1664,6,249,0.2,-0.010070311604067683,0.019683188758790493,0.1352502554655075,0.010167896,0.048828125,48,-1.0573816299438477,0.0003,4.652977347373962,-0.015269767493009567,,
14,1792,7,250,0.2,-0.002186184749007225,0.01720029371790588,0.1352522373199463,0.011634279,0.044921875,52,-1.2054531574249268,0.0003,4.653625130653381,-0.0009503033943474293,,
15,1920,7,250,0.2,-0.004311739234253764,0.013440853916108608,0.13527218997478485,0.0048644166,0.017578125,56,-1.2393689155578613,0.0003,4.653164982795715,-0.00909748300909996,,
16,2048,8,251,0.2,-0.018453452503308654,0.011408749618567526,0.13529951870441437,0.013680171,0.064453125,60,-0.8710469007492065,0.0003,4.651775121688843,-0.03381143510341644,,
17,2176,8,251,0.2,-0.0028406833298504353,0.01142168219666928,0.13531504571437836,0.014164694,0.078125,64,-1.9826979637145996,0.0003,4.6502968072891235,-0.0023009979631751776,,
18,2304,9,252,0.2,-0.008680910337716341,0.010110694449394941,0.13531328737735748,0.012352698,0.060546875,68,-3.224294662475586,0.0003,4.649801731109619,-0.013987417332828045,,
19,2432,9,252,0.2,-0.003648198675364256,0.007126049371436238,0.1353108137845993,0.010956258,0.05078125,72,-0.26068127155303955,0.0003,4.649964690208435,-0.004774005152285099,,
20,2560,10,252,0.2,-0.007429667050018907,0.010102234198711812,0.13532286882400513,0.007719938,0.025390625,76,-22.846586227416992,0.0003,4.649929881095886,-0.014459511265158653,,
21,2688,10,253,0.2,-0.009781723143532872,0.0054195497068576515,0.13533779978752136,0.012364922,0.0546875,80,-2.3925976753234863,0.0003,4.649024486541748,-0.019197773188352585,,
22,2816,11,253,0.2,-0.007370438659563661,0.0060120029374957085,0.13533666729927063,0.012897454,0.0703125,84,-10.062646865844727,0.0003,4.648443579673767,-0.013659082353115082,,
23,2944,11,253,0.2,-0.006898279767483473,0.00443401891971007,0.13533364236354828,0.0121038975,0.064453125,88,-2.642580509185791,0.0003,4.648682713508606,-0.013085437938570976,,
24,3072,12,252,0.2,-0.01182333193719387,0.005425226059742272,0.13532200455665588,0.0214306,0.111328125,92,-11.080167770385742,0.0003,4.648962736129761,-0.017478717491030693,,
25,3200,12,251,0.2,-0.006722041871398687,0.0043761603301391006,0.13532069325447083,0.007542901,0.02734375,96,-26.6298828125,0.0003,4.649601459503174,-0.016320161521434784,59.329658,3200.0
