time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/approx_kl,train/clip_fraction,train/explained_variance,train/std,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/learning_rate,train/loss,train/policy_gradient_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,0,212,128,,,,,,,,,,,,,
2,1,213,256,0.020747488,0.236328125,-7.266828536987305,0.1352851241827011,4.649627685546875,4,0.08499407768249512,0.2,0.0003,-0.007792193442583084,-0.020838475786149502,,
3,1,216,384,0.0096922275,0.046875,-2.20770263671875,0.13524489104747772,4.652470707893372,8,0.06361579895019531,0.2,0.0003,0.004752349108457565,-0.004910117946565151,,
4,2,218,512,0.013572353,0.068359375,-2.3769919872283936,0.13519351184368134,4.654843807220459,12,0.05904726078733802,0.2,0.0003,-0.013713528402149677,-0.014516234863549471,,
5,2,219,640,0.018793134,0.10546875,-1.847975730895996,0.13516375422477722,4.657764673233032,16,0.05461717443540692,0.2,0.0003,-0.014338965527713299,-0.015846529277041554,,
6,3,220,768,0.0066869673,0.025390625,-1.9151420593261719,0.13515707850456238,4.658845067024231,20,0.045349967665970325,0.2,0.0003,0.0075445594266057014,-0.00014566350728273392,,
7,4,220,896,0.0071975,0.02734375,-1.3005244731903076,0.13515883684158325,4.659023880958557,24,0.039201004430651665,0.2,0.0003,-0.0005865972489118576,-0.004088761284947395,,
8,4,220,1024,0.013118837,0.068359375,-1.7254009246826172,0.13515174388885498,4.659067988395691,28,0.0329134245403111,0.2,0.0003,-0.017256369814276695,-0.013493448495864868,,
9,5,220,1152,0.014738959,0.080078125,-0.43253862857818604,0.13513197004795074,4.659718632698059,32,0.02655503642745316,0.2,0.0003,-0.02618544176220894,-0.017878371058031917,,
10,5,220,1280,0.016124187,0.0859375,-1.1117777824401855,0.1350962370634079,4.661323666572571,36,0.026497854851186275,0.2,0.0003,-0.01318704430013895,-0.012762418249621987,,
11,6,220,1408,0.0134707205,0.06640625,-3.88028621673584,0.1350713074207306,4.663298606872559,40,0.024933779146522284,0.2,0.0003,-0.01793164387345314,-0.011588537599891424,,
12,6,220,1536,0.011146231,0.064453125,-1.5373485088348389,0.13504774868488312,4.664707660675049,44,0.021064588567242026,0.2,0.0003,0.00034999381750822067,-0.0021799266105517745,,
13,7,220,1664,0.0059510325,0.017578125,-63.40888214111328,0.13504096865653992,4.665836215019226,48,0.017926670843735337,0.2,0.0003,-0.011086130514740944,-0.006014133803546429,,
14,8,220,1792,0.009634111,0.033203125,-1.2373740673065186,0.1350356489419937,4.666036009788513,52,0.013459737063385546,0.2,0.0003,-0.014971861615777016,-0.00969515461474657,,
15,8,220,1920,0.0143381385,0.07421875,-4.372518062591553,0.13502347469329834,4.6666131019592285,56,0.011467550997622311,0.2,0.0003,-0.02423813007771969,-0.014873034786432981,,
16,9,220,2048,0.012645071,0.0703125,-19.97393798828125,0.1350005567073822,4.667462348937988,60,0.012585970223881304,0.2,0.0003,0.002268055686727166,-0.001233958057127893,,
17,9,220,2176,0.0022532549,0.0,-12.535229682922363,0.13498924672603607,4.668775677680969,64,0.008635820937342942,0.2,0.0003,-0.008869447745382786,-0.003507681656628847,,
18,10,220,2304,0.005885676,0.013671875,-11.938364028930664,0.13497929275035858,4.669234752655029,68,0.007411655155010521,0.2,0.0003,-0.007109090685844421,-0.0038444960955530405,,
19,11,220,2432,0.009220485,0.03515625,-12.790234565734863,0.13496828079223633,4.669945240020752,72,0.006864821072667837,0.2,0.0003,-0.01129482313990593,-0.005695084575563669,,
20,11,221,2560,0.019931825,0.125,-1.5695855617523193,0.13495606184005737,4.67054283618927,76,0.005966104217804968,0.2,0.0003,-0.03902313858270645,-0.023487216793000698,,
21,12,221,2688,0.021753896,0.115234375,-19.414968490600586,0.13493452966213226,4.67153012752533,80,0.005350297666154802,0.2,0.0003,-0.006950655020773411,-0.007002674508839846,,
22,12,221,2816,0.008660439,0.044921875,-4.577120304107666,0.1349046677350998,4.6729336977005005,84,0.0051792910089716315,0.2,0.0003,-0.016673503443598747,-0.008549429941922426,,
