controller,state_delay_ms,metric,unit,episodes,estimate,ci95_low,ci95_high,delta_vs_0ms,delta_ci95_low,delta_ci95_high,ci_method,delta_ci_method
D1 LQR+VMC,0,success,ratio,30,1.0,0.8864866068260312,0.9999999999999999,0.0,0.0,0.0,Wilson score,paired bootstrap
D1 LQR+VMC,0,episode_duration_s,s,30,6.0,6.0,6.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,mean_reward,reward/step,30,3.454404018125726,3.35292917552505,3.555878860726402,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,velocity_rmse_mps,m/s,30,0.3066654260700063,0.2701448533452926,0.34318599879472,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,pitch_rmse_deg,deg,30,1.3020659334490956,1.1138809194400738,1.4902509474581174,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,max_abs_pitch_deg,deg,30,3.753672084989547,3.1138816830716247,4.3934624869074685,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,height_rmse_mm,mm,30,10.176779179898084,9.371389660139226,10.982168699656942,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,normalized_torque_rms,ratio,30,0.23478628981307528,0.2249033001704734,0.24466927945567715,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,mean_abs_mechanical_power_w,W,30,175.95736617415463,128.3152381175265,223.59949423078277,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,torque_saturation_ratio,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,four_wheel_contact_ratio,ratio,30,0.8978333333333334,0.8477966894671697,0.9478699771994971,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,undesired_contact_steps,steps,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,solve_p95_ms,ms,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,state_age_mean_ms,ms,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,state_age_p95_ms,ms,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,state_age_max_ms,ms,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,compensation_horizon_p95_ms,ms,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,compensation_applied_ratio,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,compensation_rejected_ratio,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,raw_position_estimation_rmse_m,m,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,control_position_estimation_rmse_m,m,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,raw_pitch_estimation_rmse_deg,deg,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,control_pitch_estimation_rmse_deg,deg,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,raw_velocity_estimation_rmse_mps,m/s,30,4.1344063162432086e-16,3.7704862784175105e-16,4.498326354068907e-16,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,control_velocity_estimation_rmse_mps,m/s,30,4.1344063162432086e-16,3.7704862784175105e-16,4.498326354068907e-16,0.0,0.0,0.0,mean t,paired t
D1 LQR+VMC,0,residual_action_rms,ratio,30,0.0,0.0,0.0,0.0,0.0,0.0,mean t,paired t
