scenario,profile,controller,steps,duration_s,velocity_rmse_rad_s,velocity_mae_rad_s,peak_velocity_error_rad_s,integrated_absolute_error_rad,command_torque_rms_nm,applied_torque_rms_nm,peak_requested_torque_nm,saturation_fraction,integration_frozen_fraction,speed_guard_triggered,completed
matched,tracking,pi,3000,6.0,0.9976855848458935,0.8972961761378969,1.5019276433944493,5.383777056827382,0.24460791474379542,0.24445944090275948,0.35669567384123896,0.0,0.0,False,True
matched,tracking,nominal_ff,3000,6.0,0.2922157435530603,0.26196865935071073,0.4569343512668844,1.5718119561042643,0.2776172141841745,0.2774391007670323,0.38733470718718394,0.0,0.0,False,True
matched,tracking,identified_ff,3000,6.0,0.01571902036138784,0.014300238553577184,0.03409094253582259,0.0858014313214631,0.291999426295801,0.29182171648411254,0.39960425526731325,0.0,0.0,False,True
matched,reversal,pi,3000,6.0,0.921987838545352,0.681087902581848,1.8743240501520617,4.086527415491089,0.25770425396412794,0.2576173255537229,0.3027216337095801,0.0,0.0,False,True
matched,reversal,nominal_ff,3000,6.0,0.2753616292506029,0.18865697511646135,0.6205217715316859,1.1319418506987682,0.28656419456657745,0.2864474450531228,0.33932929343018026,0.0,0.0,False,True
matched,reversal,identified_ff,3000,6.0,0.01999701919924406,0.014919256640633548,0.06625833020522315,0.0895155398438013,0.3018722494849117,0.30175900830976715,0.4163775943794679,0.0,0.0,False,True
matched,stress,pi,3000,6.0,8.881126613704662,7.971236425833953,13.048916843309982,47.827418555003725,1.391886431985691,1.3918837654234832,1.9957502600249297,0.0,0.0,False,True
matched,stress,nominal_ff,3000,6.0,3.64180394590253,3.215720569454558,5.7193596494935015,19.294323416727348,1.6040759816007728,1.603595649379508,2.607735145371202,0.43,0.43366666666666664,False,True
matched,stress,identified_ff,3000,6.0,2.7358048107211284,2.160633727844868,4.824955143279787,12.96380236706921,1.689218339327385,1.6884288351166306,3.3438849856572905,0.5556666666666666,0.5556666666666666,False,True
mismatch,tracking,pi,3000,6.0,1.0206691682332794,0.9114986643517902,1.6582418260755243,5.468991986110741,0.2499098467795132,0.24975816363056996,0.36020146763904903,0.0,0.0,False,True
mismatch,tracking,nominal_ff,3000,6.0,0.306674143681933,0.269927349854168,0.5436801461175331,1.619564099125008,0.28125634000147276,0.2810785932587896,0.38994311273572435,0.0,0.0,False,True
mismatch,tracking,identified_ff,3000,6.0,0.056807469305007144,0.05005212253354379,0.10517838476447783,0.3003127352012627,0.2983402353272452,0.29816279522097644,0.404870345536739,0.0,0.0,False,True
mismatch,reversal,pi,3000,6.0,0.935537274132645,0.6841345224417085,1.8738803787895777,4.104807134650251,0.2604182180011872,0.26032510145529364,0.3032255210231229,0.0,0.0,False,True
mismatch,reversal,nominal_ff,3000,6.0,0.28205122643008956,0.18998135946179998,0.6635231953893956,1.1398881567708,0.28781471137221937,0.28769716539303886,0.3467630128593209,0.0,0.0,False,True
mismatch,reversal,identified_ff,3000,6.0,0.05110610413740395,0.03939565979283064,0.11076957974771462,0.23637395875698383,0.3064438355023951,0.3063283617484882,0.43621369536666493,0.0,0.0,False,True
mismatch,stress,pi,3000,6.0,8.882267770609165,7.972556117507677,13.056362310369504,47.83533670504607,1.3921301474741956,1.3921274816758031,1.9984002609882223,0.0,0.0,False,True
mismatch,stress,nominal_ff,3000,6.0,3.6418304764734377,3.2157889463279967,5.72110697695021,19.29473367796798,1.6040739349583757,1.6035935970868198,2.6076637902707915,0.43,0.43366666666666664,False,True
mismatch,stress,identified_ff,3000,6.0,2.7329225937387647,2.150518476030446,4.819310622210809,12.903110856182677,1.6950132225724928,1.6942264187613534,3.3951434670610667,0.5636666666666666,0.5643333333333334,False,True
